project_county_name,project_state,all_loans,kabbage_county_loans,percent_kabbage,state_code,state_name,county_code,county,fips_code
ABBEVILLE,SC,324,8,2.4691358024691357,45,South Carolina,1,Abbeville County,45001
ACADIA,LA,1306,8,0.6125574272588056,22,Louisiana,1,Acadia Parish,22001
ACCOMACK,VA,462,1,0.21645021645021645,51,Virginia,1,Accomack County,51001
ADA,ID,11258,51,0.45301119204121515,16,Idaho,1,Ada County,16001
ADAIR,KY,962,2,0.2079002079002079,21,Kentucky,1,Adair County,21001
ADAMS,CO,7481,146,1.9516107472263067,8,Colorado,1,Adams County,8001
ADAMS,IL,2240,7,0.3125,17,Illinois,1,Adams County,17001
ADAMS,IN,563,2,0.3552397868561279,18,Indiana,1,Adams County,18001
ADAMS,MS,1096,25,2.281021897810219,28,Mississippi,1,Adams County,28001
ADAMS,OH,432,4,0.9259259259259258,39,Ohio,1,Adams County,39001
ADAMS,PA,1313,5,0.38080731150038083,42,Pennsylvania,1,Adams County,42001
ADAMS,WA,313,1,0.3194888178913738,53,Washington,1,Adams County,53001
AIKEN,SC,2415,34,1.4078674948240166,45,South Carolina,3,Aiken County,45003
ALACHUA,FL,5540,156,2.815884476534296,12,Florida,1,Alachua County,12001
ALBANY,NY,6413,64,0.9979728676126618,36,New York,1,Albany County,36001
ALBANY,WY,724,3,0.4143646408839779,56,Wyoming,1,Albany County,56001
ALBEMARLE,VA,1803,26,1.4420410427066,51,Virginia,3,Albemarle County,51003
ALCONA,MI,134,2,1.4925373134328357,26,Michigan,1,Alcona County,26001
ALCORN,MS,944,1,0.1059322033898305,28,Mississippi,3,Alcorn County,28003
ALEUTIANS EAST,AK,72,1,1.3888888888888888,2,Alaska,13,Aleutians East Borough,2013
ALEXANDRIA CITY,VA,4860,155,3.189300411522634,51,Virginia,510,Alexandria city,51510
ALLAMAKEE,IA,973,4,0.41109969167523125,19,Iowa,5,Allamakee County,19005
ALLEGAN,MI,1637,9,0.5497861942577886,26,Michigan,5,Allegan County,26005
ALLEGANY,MD,880,11,1.25,24,Maryland,1,Allegany County,24001
ALLEGANY,NY,393,5,1.2722646310432568,36,New York,3,Allegany County,36003
ALLEGHENY,PA,24345,246,1.0104744300677757,42,Pennsylvania,3,Allegheny County,42003
ALLEN,IN,6973,66,0.9465079592714757,18,Indiana,3,Allen County,18003
ALLEN,KS,421,6,1.4251781472684086,20,Kansas,1,Allen County,20001
ALLEN,KY,405,1,0.24691358024691357,21,Kentucky,3,Allen County,21003
ALLEN,LA,236,4,1.694915254237288,22,Louisiana,3,Allen Parish,22003
ALLEN,OH,1891,5,0.26441036488630354,39,Ohio,3,Allen County,39003
ALLENDALE,SC,226,1,0.4424778761061947,45,South Carolina,5,Allendale County,45005
ALPENA,MI,465,3,0.6451612903225806,26,Michigan,7,Alpena County,26007
AMELIA,VA,230,2,0.8695652173913043,51,Virginia,7,Amelia County,51007
AMHERST,VA,258,4,1.550387596899225,51,Virginia,9,Amherst County,51009
AMITE,MS,360,2,0.5555555555555556,28,Mississippi,5,Amite County,28005
ANDERSON,KS,436,1,0.22935779816513763,20,Kansas,3,Anderson County,20003
ANDERSON,KY,305,3,0.9836065573770493,21,Kentucky,5,Anderson County,21005
ANDERSON,SC,2921,31,1.0612803834303322,45,South Carolina,7,Anderson County,45007
ANDERSON,TN,961,14,1.45681581685744,47,Tennessee,1,Anderson County,47001
ANDERSON,TX,739,6,0.8119079837618403,48,Texas,1,Anderson County,48001
ANDREWS,TX,401,1,0.24937655860349126,48,Texas,3,Andrews County,48003
ANDROSCOGGIN,ME,1682,10,0.5945303210463734,23,Maine,1,Androscoggin County,23001
ANGELINA,TX,1527,10,0.6548788474132285,48,Texas,5,Angelina County,48005
ANNE ARUNDEL,MD,11750,257,2.1872340425531918,24,Maryland,3,Anne Arundel County,24003
ANOKA,MN,5853,50,0.8542627712284299,27,Minnesota,3,Anoka County,27003
ANTRIM,MI,357,2,0.5602240896358543,26,Michigan,9,Antrim County,26009
APACHE,AZ,210,3,1.4285714285714286,4,Arizona,1,Apache County,4001
APPLING,GA,516,3,0.5813953488372093,13,Georgia,1,Appling County,13001
APPOMATTOX,VA,253,3,1.185770750988142,51,Virginia,11,Appomattox County,51011
ARANSAS,TX,444,4,0.9009009009009009,48,Texas,7,Aransas County,48007
ARAPAHOE,CO,15751,269,1.707828074407974,8,Colorado,5,Arapahoe County,8005
ARCHER,TX,318,2,0.628930817610063,48,Texas,9,Archer County,48009
ARKANSAS,AR,579,2,0.3454231433506045,5,Arkansas,1,Arkansas County,5001
ARLINGTON,VA,4673,109,2.3325486839289535,51,Virginia,13,Arlington County,51013
ARMSTRONG,PA,734,5,0.6811989100817438,42,Pennsylvania,5,Armstrong County,42005
AROOSTOOK,ME,1843,1,0.05425935973955508,23,Maine,3,Aroostook County,23003
ASCENSION,LA,3808,33,0.8665966386554622,22,Louisiana,5,Ascension Parish,22005
ASHLAND,OH,876,6,0.684931506849315,39,Ohio,5,Ashland County,39005
ASHLAND,WI,384,2,0.5208333333333333,55,Wisconsin,3,Ashland County,55003
ASHLEY,AR,422,4,0.9478672985781991,5,Arkansas,3,Ashley County,5003
ASHTABULA,OH,1044,4,0.38314176245210724,39,Ohio,7,Ashtabula County,39007
ASSUMPTION,LA,902,4,0.4434589800443459,22,Louisiana,7,Assumption Parish,22007
ATASCOSA,TX,722,8,1.10803324099723,48,Texas,13,Atascosa County,48013
ATLANTIC,NJ,4985,97,1.945837512537613,34,New Jersey,1,Atlantic County,34001
ATTALA,MS,445,5,1.1235955056179776,28,Mississippi,7,Attala County,28007
AUGLAIZE,OH,1018,2,0.19646365422396855,39,Ohio,11,Auglaize County,39011
AUGUSTA,VA,936,1,0.10683760683760685,51,Virginia,15,Augusta County,51015
AUSTIN,TX,842,6,0.7125890736342043,48,Texas,15,Austin County,48015
AUTAUGA,AL,909,5,0.5500550055005501,1,Alabama,1,Autauga County,1001
